Norman,Guayabo,TamboDeMora,Boulkiemdé,Tunapuco,Matses
13850,43254,29891,30566,14808,11365
29444,29830,27711,8931,20472,1119
17446,24633,22294,6331,39712,6475
28243,13270,44265,23423,41912,41213
13402,13043,2158,20232,14383,19297
9729,40826,18950,18347,43454,13008
31169,4093,40907,1864,2209,43171
35445,43572,10343,42769,43561,33877
10092,18533,15052,40268,6961,9859
16804,42957,41121,16620,44128,1415
5153,20166,25775,42442,12566,32281
4842,31201,23028,43138,25606,10984
3942,43718,1728,7737,15162,40481
26272,17197,40079,1554,18037,18240
11635,43537,10645,7792,17063,17011
13937,9953,30611,40332,30728,10008
7211,10559,33959,43190,14689,3886
43413,1988,10485,23870,4250,3933
22755,11588,19783,18638,36072,13594
41286,18012,20528,23537,29891,14696
43445,3630,11342,43323,27711,3427
19450,40064,1969,6074,22294,29013
10529,9777,5282,41440,18950,14842
18461,44588,30513,43852,44265,39821
26717,19740,6137,22356,2158,20932
5641,22376,6194,23779,40907,42722
23058,32746,28705,1560,14287,994
41379,28997,38554,22587,10343,42401
32692,6251,15811,6288,15052,5932
31462,12500,11585,15518,41121,27701
43510,1410,28580,15680,23028,22496
33366,42991,1082,2451,17949,27818
42314,18215,38582,558,1728,8647
29199,24384,17861,22845,40079,24949
29633,43205,28581,5526,10645,20723
2913,20921,17137,4897,15653,2890
42219,23104,15525,5343,40644,8826
16955,1427,5467,19569,30513,18825
807,40487,40701,2953,10485,21376
41311,28965,19897,29372,4541,41100
36338,14646,40437,4980,19783,33308
22658,43552,2371,11634,20528,42001
7588,14300,2692,23867,11342,32154
3196,14477,11371,42379,1969,41657
5053,13593,29506,11574,5282,7222
43099,13517,29855,19008,23237,8986
30594,18082,5698,1557,6137,42720
7768,40306,41592,11365,6194,14730
15713,2296,25962,1119,11585,18391
43399,43978,39732,11414,15811,41159
42860,23199,4317,6475,19465,29457
1656,8482,43338,13008,28580,444
40176,43904,17130,24017,1082,23085
5852,21651,40623,15115,17861,26769
43329,9888,8898,41213,37863,28905
7525,42955,36137,23505,28581,31464
1730,2325,5872,19297,17137,40781
31452,40585,4630,43171,15525,5085
12936,13375,26426,30559,5467,41324
39712,30566,17547,22544,40701,23186
20472,6331,20522,9859,19897,5721
14808,23423,10412,1415,40437,13036
14383,10618,34485,30241,2371,10032
34778,20232,5535,40481,34166,22398
15162,1864,44344,20605,11371,11915
43454,40268,42903,3886,29506,33575
12229,42769,41618,13594,29855,33254
12566,42442,13080,10008,41592,31122
44128,7737,3231,3427,5698,2514
27163,16620,7161,29013,4317,2726
41912,1554,3259,14842,43338,4457
2209,18814,35477,6484,13084,7464
18037,16864,40558,39821,17130,20086
7218,7792,30065,20932,40623,11978
43561,40332,17918,42722,8898,18209
30728,43190,11114,5769,5872,31131
14689,18638,27157,994,4630,30211
4250,23537,41217,40636,26426,8681
36072,12412,19129,42401,28923,16377
29891,43323,1296,29202,7187,1155
27711,6074,13845,15319,17547,23858
18950,41440,5293,27701,10412,7129
40907,43852,10404,22496,34485,11949
44265,19093,13126,27818,44344,18715
2158,1560,38246,8647,13080,6317
22294,6288,9104,24949,42903,41598
25775,15518,44014,2890,41618,8204
10343,15680,1692,8826,5609,20211
15052,558,43298,29143,3231,3459
41121,29129,20580,18825,7161,8027
24553,5526,4562,21376,3259,42556
23028,5343,11576,41100,35477,22023
1728,25931,31999,13620,40558,14027
40079,4897,9889,42001,25577,13305
10645,19569,39759,41657,17918,4588
27340,2953,42838,22681,11114,18955
30915,5513,27295,18993,11202,23311
30611,29372,42988,7222,15853,3474
40644,4980,41720,8986,27157,5652
15653,30352,35567,42720,41217,25052
10485,11634,31757,14730,39293,43781
4541,29053,18139,18391,1296,8635
20528,42379,2006,41159,13845,44554
5282,11574,37245,29457,28600,28984
1969,1557,7586,444,5293,42674
11342,11365,18322,26983,14791,44181
23237,1119,11530,26769,10404,2826
30513,16075,3236,5085,13126,17639
6137,11414,27447,40781,19125,42594
6194,13008,19954,28905,38246,12630
27994,24017,35808,41324,39781,5231
11585,15115,43254,23186,44014,42861
15811,41213,29830,5721,1692,15691
19465,23505,13270,16592,43298,20796
1082,19297,13043,10032,4562,8019
34624,43171,40826,8089,11576,5319
17861,29323,4093,22398,9889,28092
17137,30559,43572,28882,39759,42715
28581,9859,18533,15876,42838,32209
15525,1415,42957,6386,29685,32637
5467,19689,43718,22370,27295,9023
28676,27170,17197,43657,42988,41299
29501,10984,5800,5879,34895,31859
40701,40481,9953,16792,35567,4767
33355,18240,10559,29704,18139,10052
40437,3886,1988,3878,2006,42299
19897,3933,11588,2514,7025,23834
2371,13594,3630,28505,31489,13768
11371,10008,40064,2726,7586,44415
24395,3427,44588,26755,18322,24240
29506,29013,19740,25656,11530,2498
29855,14842,22376,20086,29374,22312
25962,30977,37294,11978,3236,10853
41592,29956,28997,29752,27447,16971
5698,18913,6251,26281,19954,41410
39732,6484,12500,30211,14253,7000
4317,39821,1410,9229,35808,43422
43338,42722,42991,8681,43254,3832
14731,5769,24384,40185,13270,41797
17130,994,43205,1155,17197,15279
40623,30887,20921,20083,40826,32588
8898,42401,13471,27510,4093,7295
36137,5932,16068,11949,43572,12139
5872,27701,1427,6317,18533,23272
4630,27818,33927,41598,42957,31085
26426,8647,40487,8204,20166,28627
28923,31768,35406,3043,31201,44532
17547,2890,14646,20211,43718,9313
20522,29852,43552,12220,10577,28572
34485,8826,14300,27805,25270,18677
5535,10475,14477,20463,43537,10056
23799,26733,13517,3459,9953,11903
44344,28050,13593,41241,1988,19044
13080,18825,18082,4527,11588,39975
42903,13620,40306,8027,40064,20031
41618,42001,2296,10294,18012,40434
35477,7174,43978,42556,3630,4388
3231,41657,26000,22023,18605,8336
5609,22681,23199,14027,9777,40165
3259,18057,8482,3917,44588,42695
36008,16117,16948,3474,19740,25716
40558,18993,43904,14334,6251,16987
30065,17736,21651,30173,1410,7380
17918,8986,42955,23311,42991,940
15853,42720,2325,4588,24384,2198
41217,14730,40585,13305,43205,1122
19129,18391,13375,25052,11006,14835
34564,29457,30633,9655,36841,18951
13845,41159,35211,42674,20921,22424
1296,30469,30566,43781,1427,598
5293,29938,23423,44181,40487,43054
14791,444,6331,5819,43552,31120
10404,25847,8931,8635,14300,14394
13126,26769,18814,44554,14477,1477
19125,26983,10618,3612,13593,30163
9104,5085,20232,29687,18082,39990
44014,17006,7792,2826,40306,20738
1692,40781,24648,17639,2296,41220
43298,28905,1864,42594,43978,20259
20580,28282,42769,19769,23199,19428
31999,23186,40268,9438,39333,5383
39759,29971,7737,42861,8482,31520
11576,15877,42442,12630,43904,2471
42838,10032,43138,5231,16948,43777
27295,10709,16620,10144,20583,14782
34895,28882,1554,15691,21651,16381
29685,15876,33170,20796,17370,41000
31010,11915,16864,8019,42955,1023
20734,6386,16796,5319,2325,20633
42988,43657,40332,28092,32193,20416
31757,5879,43190,42715,40585,8795
35567,31001,33474,28499,13375,42072
41720,30335,34475,41299,18814,15595
34928,2514,23537,4767,28158,13443
18139,2726,12412,10052,23423,8549
7586,4457,43323,41273,30566,11807
18322,7464,6074,42299,6331,3120
11530,11539,41440,13768,20232,2267
