Q_Exactive,Impact_MS,maXis,Our_samples
3245,32259,71874,17333
3246,32286,71976,17344
3247,32294,72001,17358
3248,32363,72071,17362
3255,32503,72615,17392
3256,32552,72703,17530
3257,32563,72836,17577
3260,32631,72856,17580
3261,32659,72861,17583
3264,32698,72862,17594
3269,32892,72897,17601
3271,32917,73021,17614
3275,32925,73133,17628
3278,32962,73146,17643
3279,32974,73156,17650
3283,33605,73406,17668
3284,33608,73435,17675
3285,33609,73442,17694
3290,33612,73449,17697
3297,33614,73475,17701
3299,33616,73477,17715
3301,33617,73483,17771
3306,33622,73695,17774
3312,33623,73696,17779
3314,33647,73866,17784
3329,33902,74052,17799
3340,33949,74130,17801
3341,34063,75356,17825
3346,34070,75463,17859
3347,34072,75824,17867
3349,34074,75825,17870
3352,34240,75930,17927
3353,34373,75958,17952
3354,34399,75998,17973
3400,34486,76132,17986
3402,34487,76152,18192
3411,34544,76206,18233
3413,34559,76228,18332
3417,34561,76316,18333
3438,34569,76318,18339
3440,34623,76355,18341
3445,34627,76497,18472
3452,34660,76895,18479
3454,34699,77126,18972
3486,34702,77243,18979
3487,34776,77260,19025
3492,34821,77276,19041
3496,34830,77746,19045
3497,34852,77770,19062
3498,34908,77905,19063
3502,34924,77921,19077
3503,35003,77994,19078
3506,35004,77996,19079
3509,35005,78014,19084
3512,35008,78056,19104
3515,35010,78065,19114
3519,35020,78093,19134
3520,35047,78410,19155
3523,35075,78438,19167
3526,35104,78467,19189
3552,35200,78648,19191
3556,35202,78652,19240
3557,35203,78654,19241
3564,35314,78679,19244
3616,35438,78682,19314
3636,35537,78700,19324
3641,35568,78704,19330
3651,35570,78717,19337
3654,35600,79385,19351
3662,35777,79507,19354
3670,35794,79585,19361
3671,35796,79633,19388
3672,35853,79768,19419
3674,35854,79976,19430
3679,35918,80036,19439
3681,35927,80114,19442
3687,36039,81849,19457
3688,36051,81916,19530
3695,36052,81917,19564
3716,36054,81972,19574
3759,36055,82007,19672
3763,36056,82008,19701
3764,36065,82012,19702
3765,36067,82015,19740
3766,36105,82042,19741
3767,36111,82282,19754
3768,36156,82342,19761
3772,36169,82396,19821
3774,36212,82429,19833
3775,36301,82556,19839
3778,36305,82581,19848
3780,36306,82944,19864
3790,36307,82960,19871
3805,36308,82970,19876
3836,36315,82971,19900
3860,36318,82972,19901
3901,36328,82976,19907
3908,36351,82988,19928
3912,36417,83002,19986
3928,36458,83034,20012
3933,36468,83057,20021
3939,36501,83103,20024
3945,36504,83106,20035
3955,36510,83156,20040
3960,36546,83294,20099
3974,36628,83364,20128
3975,36647,83378,20136
3983,36651,83529,20145
3988,36654,83536,20217
3990,36657,83550,20231
4073,36658,83666,20338
4095,36661,83675,20366
4096,36725,83759,20468
4097,37846,84949,20569
4098,37926,85008,20574
4100,38088,85039,20605
4102,38092,85059,20629
4103,38097,85061,20631
4104,38104,85068,20635
4109,38158,85107,20642
4110,38205,85249,20658
4112,38222,85251,20665
4114,38244,85253,20683
4115,38304,85256,20702
4117,38307,85260,20711
4118,38364,85262,20718
4120,38556,85268,20735
4121,38564,85273,20751
4122,38565,85277,20778
4123,38764,85278,20782
4125,38791,85282,20797
4128,38794,85285,20816
4130,38797,85292,20817
4131,38803,85297,20819
4170,38808,85311,20822
4184,38809,85361,20838
4209,38817,85402,20844
4249,38865,85416,20854
4264,38898,85505,20858
4274,39011,85564,20874
4280,39012,85679,20882
4284,39013,86112,20929
4299,39015,87782,20931
4301,39020,87792,20958
4303,39074,87811,21013
4308,39104,87825,21025
4309,39105,87829,21069
4310,39147,87836,21075
4315,39149,87849,21078
4316,39207,87857,21081
4320,39256,87863,21086
4321,39312,87880,21089
4331,39324,87883,21179
4355,39413,87887,21189
4360,39492,87892,21266
4365,39524,87896,21295
4374,39527,87921,21342
4420,39531,87928,21398
4421,39535,87937,21479
4423,39594,87964,21503
4425,39611,87970,21556
4505,39617,87977,21579
4509,39752,87981,21594
4518,39799,88010,21601
4519,39819,88025,21607
4521,39832,88168,21612
4525,39868,88237,21613
4529,39907,88419,21658
4530,39927,88549,21710
4531,39951,88617,21764
4537,39983,88743,21765
4546,39996,88761,21767
4547,39998,88763,21774
4576,40014,88846,21784
4581,40019,89984,21795
4586,40042,90009,21860
4587,40079,90146,21874
4591,40188,90206,21884
4603,40192,90213,21896
4604,40203,90222,21897
4606,40236,90231,21904
4607,40237,90239,21912
4608,40238,90245,21932
4650,40241,91186,21941
4659,40245,91272,21971
4661,40248,91383,21981
4663,40251,91546,22005
4691,40255,91600,22038
4702,40276,91627,22048
4704,40586,91709,22052
4705,40588,91744,22072
4706,40602,91772,22075
4708,40776,91803,22096
4711,40794,91842,22101
4712,40796,91866,22119
4717,40812,92527,22154
4718,40823,92565,22167
4720,40825,92881,22242
4721,40880,92911,22299
4723,40889,92920,22300
4730,40910,92946,22346
4731,41048,92966,22347
4734,41096,93015,22477
4736,41120,93028,22635
4737,41158,93198,22638
4738,41160,93241,22639
4740,41161,93381,22644
4747,41162,93442,22670
4801,41165,93490,22671
4805,41352,93511,22746
4811,41353,93549,22748
4824,41371,93563,22786
4831,41374,93564,22888
4837,41388,93699,22940
4840,41395,93714,23042
4846,41397,93715,23197
4848,41400,93716,23200
4849,41408,93751,23244
4851,41409,93760,23257
4857,41415,93866,23262
4858,41426,94213,23298
4859,41562,94219,23303
4864,41686,94458,23321
4874,41789,94475,23377
4880,41884,95475,23394
4936,41902,95653,23487
4965,41915,95656,23546
4967,41993,95672,23549
4975,42015,95825,23555
4979,42024,95827,23614
4993,42099,96164,23615
4995,42105,96707,23652
4996,42107,97019,23653
5002,43151,97020,23725
5007,44140,97030,23763
5008,44151,97190,23789
5020,44156,97195,23790
5021,44157,97229,23791
5039,44410,97239,23796
5040,44560,97261,24252
5048,44662,97279,24254
5051,44692,97283,24280
5053,44693,97307,24284
5054,44711,97478,24300
5062,44715,97510,24368
5064,44720,97676,24423
5079,44742,97742,24468
5096,44745,97783,24477
5099,44827,97827,24498
5107,44830,99225,24499
5130,44836,99231,24544
5168,44861,99273,24556
5173,44886,99325,24656
5175,45001,99388,24792
5176,45016,99417,25090
5179,45036,99637,25144
5180,45198,99665,25169
5190,45220,99861,25221
5193,45237,99923,25230
5206,45268,99926,25292
5209,45270,99933,25313
5212,45276,99971,25341
5220,45278,100085,25389
5221,45282,100091,25392
5222,45341,100130,25395
5223,45357,100185,25412
5225,45358,100194,25435
5232,45409,100254,25437
5234,45428,100351,25444
5239,45435,101623,25454
5243,45436,101676,25460
5248,45447,101875,25528
5262,45472,102484,25530
5268,45520,102492,25561
5269,45524,102618,25606
5273,45542,102641,25626
5286,45551,102673,25633
5288,45593,102713,25659
5303,45648,102778,25662
5304,45659,102817,25678
5308,45678,102839,25713
5309,45729,102846,25767
5314,45732,103005,25775
5315,46748,103286,25778
5316,46919,103366,25857
5369,46945,103419,25860
5379,46971,103482,25925
5384,47046,103761,25934
5389,47048,103804,25938
5391,47054,103820,25983
5392,47065,103825,26061
